sample_id,numeric_recompute,physical_properties,overall
D01-S001-00001,True,True,pass
D01-S001-00002,True,True,pass
D01-S001-00003,True,True,pass
D01-S001-00004,True,True,pass
D01-S001-00005,True,True,pass
D01-S001-00006,True,True,pass
D01-S001-00007,True,True,pass
D01-S001-00008,True,True,pass
D01-S001-00009,True,True,pass
D01-S001-00010,True,True,pass
D01-S001-00011,True,True,pass
D01-S001-00012,True,True,pass
D01-S001-00013,True,True,pass
D01-S001-00014,True,True,pass
D01-S001-00015,True,True,pass
D01-S001-00016,True,True,pass
D01-S001-00017,True,True,pass
D01-S001-00018,True,True,pass
D01-S001-00019,True,True,pass
D01-S001-00020,True,True,pass
D01-S001-00021,True,True,pass
D01-S001-00022,True,True,pass
D01-S001-00023,True,True,pass
D01-S001-00024,True,True,pass
D01-S001-00025,True,True,pass
D01-S001-00026,True,True,pass
D01-S001-00027,True,True,pass
D01-S001-00028,True,True,pass
D01-S001-00029,True,True,pass
D01-S001-00030,True,True,pass
D01-S001-00031,True,True,pass
D01-S001-00032,True,True,pass
D01-S001-00033,True,True,pass
D01-S001-00034,True,True,pass
D01-S001-00035,True,True,pass
D01-S001-00036,True,True,pass
D01-S001-00037,True,True,pass
D01-S001-00038,True,True,pass
D01-S001-00039,True,True,pass
D01-S001-00040,True,True,pass
D01-S001-00041,True,True,pass
D01-S001-00042,True,True,pass
D01-S001-00043,True,True,pass
D01-S001-00044,True,True,pass
D01-S001-00045,True,True,pass
D01-S001-00046,True,True,pass
D01-S001-00047,True,True,pass
D01-S001-00048,True,True,pass
D01-S001-00049,True,True,pass
D01-S001-00050,True,True,pass
D01-S001-00051,True,True,pass
D01-S001-00052,True,True,pass
D01-S001-00053,True,True,pass
D01-S001-00054,True,True,pass
D01-S001-00055,True,True,pass
D01-S001-00056,True,True,pass
D01-S001-00057,True,True,pass
D01-S001-00058,True,True,pass
D01-S001-00059,True,True,pass
D01-S001-00060,True,True,pass
D01-S001-00061,True,True,pass
D01-S001-00062,True,True,pass
D01-S001-00063,True,True,pass
D01-S001-00064,True,True,pass
D01-S001-00065,True,True,pass
D01-S001-00066,True,True,pass
D01-S001-00067,True,True,pass
D01-S001-00068,True,True,pass
D01-S001-00069,True,True,pass
D01-S001-00070,True,True,pass
D01-S001-00071,True,True,pass
D01-S001-00072,True,True,pass
D01-S001-00073,True,True,pass
D01-S001-00074,True,True,pass
D01-S001-00075,True,True,pass
D01-S001-00076,True,True,pass
D01-S001-00077,True,True,pass
D01-S001-00078,True,True,pass
D01-S001-00079,True,True,pass
D01-S001-00080,True,True,pass
D01-S001-00081,True,True,pass
D01-S001-00082,True,True,pass
D01-S001-00083,True,True,pass
D01-S001-00084,True,True,pass
D01-S001-00085,True,True,pass
D01-S001-00086,True,True,pass
D01-S001-00087,True,True,pass
D01-S001-00088,True,True,pass
D01-S001-00089,True,True,pass
D01-S001-00090,True,True,pass
D01-S001-00091,True,True,pass
D01-S001-00092,True,True,pass
D01-S001-00093,True,True,pass
D01-S001-00094,True,True,pass
D01-S001-00095,True,True,pass
D01-S001-00096,True,True,pass
D01-S001-00097,True,True,pass
D01-S001-00098,True,True,pass
D01-S001-00099,True,True,pass
D01-S001-00100,True,True,pass
D01-S001-00101,True,True,pass
D01-S001-00102,True,True,pass
D01-S001-00103,True,True,pass
D01-S001-00104,True,True,pass
D01-S001-00105,True,True,pass
D01-S001-00106,True,True,pass
D01-S001-00107,True,True,pass
D01-S001-00108,True,True,pass
D01-S001-00109,True,True,pass
D01-S001-00110,True,True,pass
D01-S001-00111,True,True,pass
D01-S001-00112,True,True,pass
D01-S001-00113,True,True,pass
D01-S001-00114,True,True,pass
D01-S001-00115,True,True,pass
D01-S001-00116,True,True,pass
D01-S001-00117,True,True,pass
D01-S001-00118,True,True,pass
D01-S001-00119,True,True,pass
D01-S001-00120,True,True,pass
D01-S001-00121,True,True,pass
D01-S001-00122,True,True,pass
D01-S001-00123,True,True,pass
D01-S001-00124,True,True,pass
D01-S001-00125,True,True,pass
D01-S001-00126,True,True,pass
D01-S001-00127,True,True,pass
D01-S001-00128,True,True,pass
D01-S001-00129,True,True,pass
D01-S001-00130,True,True,pass
D01-S001-00131,True,True,pass
D01-S001-00132,True,True,pass
D01-S001-00133,True,True,pass
D01-S001-00134,True,True,pass
D01-S001-00135,True,True,pass
D01-S001-00136,True,True,pass
D01-S001-00137,True,True,pass
D01-S001-00138,True,True,pass
D01-S001-00139,True,True,pass
D01-S001-00140,True,True,pass
D01-S001-00141,True,True,pass
D01-S001-00142,True,True,pass
D01-S001-00143,True,True,pass
D01-S001-00144,True,True,pass
D01-S001-00145,True,True,pass
D01-S001-00146,True,True,pass
D01-S001-00147,True,True,pass
D01-S001-00148,True,True,pass
D01-S001-00149,True,True,pass
D01-S001-00150,True,True,pass
D01-S001-00151,True,True,pass
D01-S001-00152,True,True,pass
D01-S001-00153,True,True,pass
D01-S001-00154,True,True,pass
D01-S001-00155,True,True,pass
D01-S001-00156,True,True,pass
D01-S001-00157,True,True,pass
D01-S001-00158,True,True,pass
D01-S001-00159,True,True,pass
D01-S001-00160,True,True,pass
D01-S001-00161,True,True,pass
D01-S001-00162,True,True,pass
D01-S001-00163,True,True,pass
D01-S001-00164,True,True,pass
D01-S001-00165,True,True,pass
D01-S001-00166,True,True,pass
D01-S001-00167,True,True,pass
D01-S001-00168,True,True,pass
D01-S001-00169,True,True,pass
D01-S001-00170,True,True,pass
D01-S001-00171,True,True,pass
D01-S001-00172,True,True,pass
D01-S001-00173,True,True,pass
D01-S001-00174,True,True,pass
D01-S001-00175,True,True,pass
D01-S001-00176,True,True,pass
D01-S001-00177,True,True,pass
D01-S001-00178,True,True,pass
D01-S001-00179,True,True,pass
D01-S001-00180,True,True,pass
D01-S001-00181,True,True,pass
